Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: tagion.dart logger

Register: dart.sync logger

Register: epoch-dump-task logger

Register: transcript logger

Register: collector logger

Register: trans_server logger

Register: trans_response logger

1673362824 | WARN  | local-tagion: Sender not found
1673362825 | WARN  | local-tagion: Sender not found
1673362826 | WARN  | local-tagion: Sender not found
1673362828 | WARN  | local-tagion: Sender not found
1673362830 | WARN  | local-tagion: Sender not found
1673362831 | WARN  | local-tagion: Sender not found
1673362832 | WARN  | local-tagion: Sender not found
1673362832 | WARN  | local-tagion: Sender not found
1673362833 | WARN  | local-tagion: Sender not found
1673362835 | WARN  | local-tagion: Sender not found
1673362837 | WARN  | local-tagion: Sender not found
1673362839 | WARN  | local-tagion: Sender not found
1673362844 | WARN  | local-tagion: Sender not found
1673362845 | WARN  | local-tagion: Sender not found
1673362848 | WARN  | local-tagion: Sender not found
1673362849 | WARN  | local-tagion: Sender not found
1673362849 | WARN  | local-tagion: Sender not found
1673362850 | WARN  | local-tagion: Sender not found
1673362853 | WARN  | local-tagion: Sender not found
1673362853 | WARN  | local-tagion: Sender not found
1673362858 | WARN  | local-tagion: Sender not found
1673362861 | WARN  | local-tagion: Sender not found
1673362861 | WARN  | local-tagion: Sender not found
1673362862 | WARN  | local-tagion: Sender not found
1673362863 | WARN  | local-tagion: Sender not found
1673362865 | WARN  | local-tagion: Sender not found
1673362868 | WARN  | local-tagion: Sender not found
1673362869 | WARN  | local-tagion: Sender not found
1673362869 | WARN  | local-tagion: Sender not found
1673362870 | WARN  | local-tagion: Sender not found
1673362873 | WARN  | local-tagion: Sender not found
1673362874 | WARN  | local-tagion: Sender not found
1673362877 | WARN  | local-tagion: Sender not found
1673362879 | WARN  | local-tagion: Sender not found
1673362881 | WARN  | local-tagion: Sender not found
1673362886 | WARN  | local-tagion: Sender not found
1673362889 | WARN  | local-tagion: Sender not found
1673362889 | WARN  | local-tagion: Sender not found
1673362892 | WARN  | local-tagion: Sender not found
1673362893 | WARN  | local-tagion: Sender not found
1673362893 | WARN  | local-tagion: Sender not found
1673362894 | WARN  | local-tagion: Sender not found
1673362895 | WARN  | local-tagion: Sender not found
1673362897 | WARN  | local-tagion: Sender not found
1673362897 | WARN  | local-tagion: Sender not found
1673362898 | WARN  | local-tagion: Sender not found
1673362899 | WARN  | local-tagion: Sender not found
1673362900 | WARN  | local-tagion: Sender not found
1673362901 | WARN  | local-tagion: Sender not found
1673362904 | WARN  | local-tagion: Sender not found
1673362906 | WARN  | local-tagion: Sender not found
1673362909 | WARN  | local-tagion: Sender not found
1673362911 | WARN  | local-tagion: Sender not found
1673362912 | WARN  | local-tagion: Sender not found
1673362914 | WARN  | local-tagion: Sender not found
1673362915 | WARN  | local-tagion: Sender not found
1673362917 | WARN  | local-tagion: Sender not found
1673362918 | WARN  | local-tagion: Sender not found
1673362925 | WARN  | local-tagion: Sender not found
1673362932 | WARN  | local-tagion: Sender not found
1673362933 | WARN  | local-tagion: Sender not found
1673362933 | WARN  | local-tagion: Sender not found
1673362934 | WARN  | local-tagion: Sender not found
1673362935 | WARN  | local-tagion: Sender not found
1673362936 | WARN  | local-tagion: Sender not found
1673362937 | WARN  | local-tagion: Sender not found
1673362937 | WARN  | local-tagion: Sender not found
1673362938 | WARN  | local-tagion: Sender not found
1673362939 | WARN  | local-tagion: Sender not found
1673362940 | WARN  | local-tagion: Sender not found
1673362941 | WARN  | local-tagion: Sender not found
1673362941 | WARN  | local-tagion: Sender not found
1673362942 | WARN  | local-tagion: Sender not found
1673362943 | WARN  | local-tagion: Sender not found
1673362944 | WARN  | local-tagion: Sender not found
1673362945 | WARN  | local-tagion: Sender not found
1673362946 | WARN  | local-tagion: Sender not found
1673362948 | WARN  | local-tagion: Sender not found
1673362949 | WARN  | local-tagion: Sender not found
1673362950 | WARN  | local-tagion: Sender not found
1673362951 | WARN  | local-tagion: Sender not found
1673362952 | WARN  | local-tagion: Sender not found
1673362953 | WARN  | local-tagion: Sender not found
1673362955 | WARN  | local-tagion: Sender not found
1673362956 | WARN  | local-tagion: Sender not found
1673362959 | WARN  | local-tagion: Sender not found
